CompanyName,CompanyNumber,RegAddress.CareOf,RegAddress.POBox,RegAddress.AddressLine1,RegAddress.AddressLine2,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,Accounts.AccountRefDay,Accounts.AccountRefMonth,Accounts.NextDueDate,Accounts.LastMadeUpDate,Accounts.AccountCategory,Returns.NextDueDate,Returns.LastMadeUpDate,Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4,LimitedPartnerships.NumGenPartners,LimitedPartnerships.NumLimPartners,URI,PreviousName_1.CONDATE,PreviousName_1.CompanyName,PreviousName_2.CONDATE,PreviousName_2.CompanyName,PreviousName_3.CONDATE,PreviousName_3.CompanyName,PreviousName_4.CONDATE,PreviousName_4.CompanyName,PreviousName_5.CONDATE,PreviousName_5.CompanyName,PreviousName_6.CONDATE,PreviousName_6.CompanyName,PreviousName_7.CONDATE,PreviousName_7.CompanyName,PreviousName_8.CONDATE,PreviousName_8.CompanyName,PreviousName_9.CONDATE,PreviousName_9.CompanyName,PreviousName_10.CONDATE,PreviousName_10.CompanyName,ConfStmtNextDueDate,ConfStmtLastMadeUpDate
"""BEON"" SUPPORT LTD",14502415,,,1 DEBEN ROAD,,CORBY,,ENGLAND,NN17 2JY,Private Limited Company,Active,United Kingdom,,23/11/2022,4,4,04/01/2026,04/04/2024,MICRO ENTITY,21/12/2023,,0,0,0,0,41100 - Development of building projects,69109 - Activities of patent and copyright agents; other legal activities n.e.c.,84300 - Compulsory social security activities,88990 - Other social work activities without accommodation n.e.c.,0,0,http://business.data.gov.uk/id/company/14502415,,,,,,,,,,,,,,,,,,,,,08/08/2025,25/07/2024
"""BETTER CALL CECIL"" LTD",13105018,,,33 HIGHBURY ROAD,BREAM,LYDNEY,,ENGLAND,GL15 6EF,Private Limited Company,Active,United Kingdom,,30/12/2020,31,12,30/09/2026,31/12/2024,DORMANT,27/01/2022,,0,0,0,0,69109 - Activities of patent and copyright agents; other legal activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/13105018,,,,,,,,,,,,,,,,,,,,,29/01/2026,15/01/2025
"""BOCI"" DEEP CLEAN LTD",15727849,,,23A GRANGE PARK,,LONDON,,UNITED KINGDOM,W5 3PS,Private Limited Company,Active,United Kingdom,,18/05/2024,31,5,28/02/2027,31/05/2025,UNAUDITED ABRIDGED,15/06/2025,,0,0,0,0,81210 - General cleaning of buildings,81222 - Specialised cleaning services,,,0,0,http://business.data.gov.uk/id/company/15727849,,,,,,,,,,,,,,,,,,,,,31/05/2026,17/05/2025
"""BUDMEL"" COMPANY LTD",FC025469,,,BRANCH REGISTRATION,REFER TO PARENT REGISTRY,,,POLAND,,Other company type,Active,POLAND,,21/09/2004,30,9,,,NO ACCOUNTS FILED,,,0,0,0,0,None Supplied,,,,0,0,http://business.data.gov.uk/id/company/FC025469,,,,,,,,,,,,,,,,,,,,,05/10/2016,
"""CANNON CHAMBERS"" 17 CANNON PLACE MANAGEMENT LIMITED",02076454,,,17 CANNON PLACE,HAMPSTEAD,LONDON,,,NW3 1EH,Private Limited Company,Active,United Kingdom,,21/11/1986,31,3,31/12/2025,31/03/2024,DORMANT,24/04/2017,27/03/2016,0,0,0,0,74990 - Non-trading company,98000 - Residents property management,,,0,0,http://business.data.gov.uk/id/company/02076454,,,,,,,,,,,,,,,,,,,,,10/04/2026,27/03/2025
"""CARTREF NI"" LIMITED",02591631,,,GOLEUFAN,27 CHESTER STREET,ST ASAPH,DENBIGHSHIRE,WALES,LL17 0RE,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,United Kingdom,,14/03/1991,23,3,23/12/2025,23/03/2024,TOTAL EXEMPTION FULL,11/04/2017,14/03/2016,2,0,0,2,88100 - Social work activities without accommodation for the elderly and disabled,,,,0,0,http://business.data.gov.uk/id/company/02591631,,,,,,,,,,,,,,,,,,,,,28/03/2026,14/03/2025
"""CHANNING HOUSE""INCORPORATED HIGHGATE",00063121,,,CHANNING SCHOOL,HIGHGATE HILL,HIGHGATE,LONDON,,N6 5HF,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,United Kingdom,,27/07/1899,31,8,31/05/2026,31/08/2024,FULL,28/09/2016,31/08/2015,5,5,0,0,85200 - Primary education,85310 - General secondary education,,,0,0,http://business.data.gov.uk/id/company/00063121,,,,,,,,,,,,,,,,,,,,,14/09/2025,31/08/2024
"""CLAREJON"" JEWELLERY & ACCESSORIES L.P.",LP018170,,,4 BADGERS CROFT VICTORIA ROAD,MORTIMER COMMON,READING,BERKSHIRE,,RG7 3SW,Limited Partnership,Active,United Kingdom,,29/06/2017,,,,,NO ACCOUNTS FILED,,,0,0,0,0,None Supplied,,,,1,1,http://business.data.gov.uk/id/company/LP018170,,,,,,,,,,,,,,,,,,,,,,
"""CNOC NA RI"" DEVELOPMENTS LIMITED",NI059358,,,KEYES HOUSE,9 ORCHARD TERRACE,OMAGH,CO TYRONE,,BT78 1LE,Private Limited Company,Active,United Kingdom,,16/05/2006,31,5,28/02/2026,31/05/2024,DORMANT,13/06/2017,16/05/2016,0,0,0,0,41100 - Development of building projects,,,,0,0,http://business.data.gov.uk/id/company/NI059358,,,,,,,,,,,,,,,,,,,,,14/11/2025,31/10/2024
"""COME ON"" SOCIAL NETWORK LIMITED",11271757,,,2 GROSVENOR SQUARE,,SOUTHAMPTON,,ENGLAND,SO15 2BE,Private Limited Company,Active - Proposal to Strike off,United Kingdom,,23/03/2018,31,3,31/12/2025,31/03/2024,MICRO ENTITY,20/04/2019,,0,0,0,0,58190 - Other publishing activities,73110 - Advertising agencies,73120 - Media representation services,,0,0,http://business.data.gov.uk/id/company/11271757,,,,,,,,,,,,,,,,,,,,,24/09/2024,10/09/2023
